Zona,Latitud,Longitud,Anio,Mes,Temp_Max,Temp_Min,Precipitacion,Humedad,RadiacionSolar
MATINA,10.0,-83.35,2019,1,26.89,20.79,1.44,84.32,16.72
MATINA,10.0,-83.35,2019,2,28.25,20.83,2.93,80.81,18.62
MATINA,10.0,-83.35,2019,3,27.1,21.18,9.62,84.47,18.13
MATINA,10.0,-83.35,2019,4,28.09,21.94,8.42,85.11,18.83
MATINA,10.0,-83.35,2019,5,28.22,22.88,19.5,90.01,15.38
MATINA,10.0,-83.35,2019,6,28.49,23.2,12.21,89.02,15.27
MATINA,10.0,-83.35,2019,7,27.86,22.65,9.38,89.03,14.8
MATINA,10.0,-83.35,2019,8,28.27,21.92,11.07,88.07,13.95
MATINA,10.0,-83.35,2019,9,28.52,22.21,12.38,86.83,16.4
MATINA,10.0,-83.35,2019,10,28.15,22.07,19.04,87.87,16.12
MATINA,10.0,-83.35,2019,11,27.71,21.93,15.26,87.09,12.58
MATINA,10.0,-83.35,2019,12,27.23,22.25,12.41,88.18,11.78
MATINA,10.0,-83.35,2020,1,26.92,21.69,8.79,87.68,14.61
MATINA,10.0,-83.35,2020,2,27.46,21.12,4.84,86.16,17.4
MATINA,10.0,-83.35,2020,3,27.45,21.67,1.5,82.48,20.65
MATINA,10.0,-83.35,2020,4,28.12,21.7,8.66,82.02,19.32
MATINA,10.0,-83.35,2020,5,28.62,22.91,10.95,87.11,16.32
MATINA,10.0,-83.35,2020,6,28.15,21.18,20.81,88.16,14.93
MATINA,10.0,-83.35,2020,7,27.99,20.66,10.52,87.32,15.92
MATINA,10.0,-83.35,2020,8,28.84,22.64,13.93,87.21,16.25
MATINA,10.0,-83.35,2020,9,28.45,22.59,13.72,84.26,18.32
MATINA,10.0,-83.35,2020,10,27.89,22.66,22.94,87.32,16.07
MATINA,10.0,-83.35,2020,11,28.57,22.6,34.05,88.74,14.22
MATINA,10.0,-83.35,2020,12,26.88,21.32,20.42,87.29,14.17
MATINA,10.0,-83.35,2021,1,26.38,21.02,6.98,86.32,15.37
MATINA,10.0,-83.35,2021,2,27.23,21.33,3.73,85.15,17.87
MATINA,10.0,-83.35,2021,3,27.15,20.38,11.11,84.28,19.21
MATINA,10.0,-83.35,2021,4,27.58,22.45,15.56,87.21,17.0
MATINA,10.0,-83.35,2021,5,28.16,22.76,22.18,88.68,15.04
MATINA,10.0,-83.35,2021,6,27.74,22.88,18.3,87.6,17.1
MATINA,10.0,-83.35,2021,7,27.7,22.13,17.59,88.66,13.98
MATINA,10.0,-83.35,2021,8,27.67,22.02,17.8,87.34,15.43
MATINA,10.0,-83.35,2021,9,27.94,22.2,10.15,85.8,16.74
MATINA,10.0,-83.35,2021,10,28.19,22.15,11.47,85.94,16.7
MATINA,10.0,-83.35,2021,11,27.89,21.97,7.98,86.2,13.3
MATINA,10.0,-83.35,2021,12,26.94,22.32,8.7,88.72,14.23
MATINA,10.0,-83.35,2022,1,26.7,21.28,3.25,84.08,17.15
MATINA,10.0,-83.35,2022,2,26.44,20.33,3.4,83.11,18.54
MATINA,10.0,-83.35,2022,3,27.71,20.64,9.22,84.32,19.12
MATINA,10.0,-83.35,2022,4,28.14,21.71,15.27,86.16,17.57
MATINA,10.0,-83.35,2022,5,28.32,22.01,12.12,88.66,16.56
MATINA,10.0,-83.35,2022,6,28.46,21.95,29.95,89.75,16.28
MATINA,10.0,-83.35,2022,7,27.52,22.32,14.32,89.8,14.28
MATINA,10.0,-83.35,2022,8,28.26,21.16,12.2,86.41,16.29
MATINA,10.0,-83.35,2022,9,28.15,22.65,17.36,86.58,17.45
MATINA,10.0,-83.35,2022,10,28.05,22.58,10.81,86.37,16.28
MATINA,10.0,-83.35,2022,11,27.78,21.94,22.09,89.18,12.68
MATINA,10.0,-83.35,2022,12,26.75,22.05,6.62,86.08,15.74
MATINA,10.0,-83.35,2023,1,26.35,21.79,4.78,86.52,15.61
MATINA,10.0,-83.35,2023,2,26.36,21.13,6.29,85.5,18.16
MATINA,10.0,-83.35,2023,3,27.61,21.31,6.67,84.62,18.21
MATINA,10.0,-83.35,2023,4,28.92,21.61,4.54,82.74,20.88
MATINA,10.0,-83.35,2023,5,29.08,23.07,9.76,84.05,19.06
MATINA,10.0,-83.35,2023,6,28.59,22.44,15.17,88.01,17.01
MATINA,10.0,-83.35,2023,7,28.4,22.89,13.69,90.01,13.43
MATINA,10.0,-83.35,2023,8,29.89,23.24,10.66,87.54,15.41
MATINA,10.0,-83.35,2023,9,29.61,23.1,5.96,84.04,17.26
MATINA,10.0,-83.35,2023,10,29.25,23.57,18.15,87.25,15.53
