producto,precioFinal,fechaPublicacion
Gasolina RON 95,633.0,2026-03-13
Gasolina RON 91,607.0,2026-03-13
Gasolina RON 91 (pescadores),,2026-03-13
Diésel para uso automotriz de 50 ppm de azufre,530.0,2026-03-13
Diésel uso automotriz 50 ppm azufre (pescadores),,2026-03-13
Diésel marino,,2026-03-13
Keroseno,478.0,2026-03-13
Bunker,,2026-03-13
Bunker Térmico ICE,,2026-03-13
Bunker Térmico ICE 2,,2026-03-13
IFO 380,,2026-03-13
Asfalto PG-64-22,,2026-03-13
Diésel pesado o gasóleo,,2026-03-13
Emulsión asfáltica rápida (RR),,2026-03-13
Emulsión asfáltica lenta (RL),,2026-03-13
LPG (70-30),242.0,2026-03-13
LPG (rico en propano),390.0,2026-03-13
Av-Gas,859.0,2026-03-13
Jet fuel A,516.0,2026-03-13
Nafta pesada,,2026-03-13
Gasolina RON 95,628.0,2026-02-11
Gasolina RON 91,593.0,2026-02-11
Gasolina RON 91 (pescadores),,2026-02-11
Diésel para uso automotriz de 50 ppm de azufre,513.0,2026-02-11
Diésel uso automotriz 50 ppm azufre (pescadores),,2026-02-11
Diésel marino,,2026-02-11
Keroseno,446.0,2026-02-11
Bunker,,2026-02-11
Bunker Térmico ICE,,2026-02-11
Bunker Térmico ICE 2,,2026-02-11
IFO 380,,2026-02-11
Asfalto PG-64-22,,2026-02-11
Diésel pesado o gasóleo,,2026-02-11
Emulsión asfáltica rápida (RR),,2026-02-11
Emulsión asfáltica lenta (RL),,2026-02-11
LPG (70-30),242.0,2026-02-11
LPG (rico en propano),390.0,2026-02-11
Av-Gas,867.0,2026-02-11
Jet fuel A,484.0,2026-02-11
Nafta pesada,,2026-02-11
Gasolina RON 95,626.0,2026-02-04
Gasolina RON 91,591.0,2026-02-04
Gasolina RON 91 (pescadores),,2026-02-04
Diésel para uso automotriz de 50 ppm de azufre,512.0,2026-02-04
Diésel uso automotriz 50 ppm azufre (pescadores),,2026-02-04
Diésel marino,,2026-02-04
Keroseno,445.0,2026-02-04
Bunker,,2026-02-04
Bunker Térmico ICE,,2026-02-04
Bunker Térmico ICE 2,,2026-02-04
IFO 380,,2026-02-04
