Fecha,ProductoID,NombreProducto,Categoria,EsImportado,UnidadMedida,Provincia,Canton,Distrito,PrecioColones,PrecioBaseReferencia,FactorCanasta
2021-05-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,San Jose,San Jose,Carmen,788.59,820,0.9632940701990405
2021-05-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Alajuela,Alajuela,Alajuela,808.5,820,0.9818125727073516
2021-05-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Cartago,Cartago,Oriental,826.82,820,1.020180483291988
2021-05-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Heredia,Heredia,Heredia,862.22,820,1.0462328068619122
2021-05-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Limon,Limon,Limon,813.8,820,0.9933486249621141
2021-05-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,San Jose,San Jose,Carmen,1393.85,1450,0.9640259911153226
2021-05-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Alajuela,Alajuela,Alajuela,1494.31,1450,1.0291055770496094
2021-05-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Cartago,Cartago,Oriental,1457.92,1450,1.000356472982908
2021-05-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Heredia,Heredia,Heredia,1495.98,1450,1.0275231992216116
2021-05-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Limon,Limon,Limon,1520.81,1450,1.0468611899612117
2021-05-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,San Jose,San Jose,Carmen,807.37,850,0.9541874869327059
2021-05-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Alajuela,Alajuela,Alajuela,900.94,850,1.0490574951369322
2021-05-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Cartago,Cartago,Oriental,872.06,850,1.025786841936967
2021-05-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Heredia,Heredia,Heredia,890.32,850,1.0356759943615195
2021-05-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Limon,Limon,Limon,839.73,850,0.9902060764841891
2021-05-01,4,Tomate,Vegetales,0,Kilogramo,San Jose,San Jose,Carmen,1468.92,1500,0.9818852706712927
2021-05-01,4,Tomate,Vegetales,0,Kilogramo,Alajuela,Alajuela,Alajuela,1530.46,1500,1.0167055112973054
2021-05-01,4,Tomate,Vegetales,0,Kilogramo,Cartago,Cartago,Oriental,1483.64,1500,0.9857107389098225
2021-05-01,4,Tomate,Vegetales,0,Kilogramo,Heredia,Heredia,Heredia,1525.57,1500,1.015793026151732
2021-05-01,4,Tomate,Vegetales,0,Kilogramo,Limon,Limon,Limon,1504.98,1500,1.0057385542600272
2021-05-01,5,Aceite vegetal,Grasas,1,Mililitros,San Jose,San Jose,Carmen,1523.38,1450,1.044794555020465
2021-05-01,5,Aceite vegetal,Grasas,1,Mililitros,Alajuela,Alajuela,Alajuela,1444.53,1450,1.0009603563444391
2021-05-01,5,Aceite vegetal,Grasas,1,Mililitros,Cartago,Cartago,Oriental,1380.22,1450,0.9536681262840392
2021-05-01,5,Aceite vegetal,Grasas,1,Mililitros,Heredia,Heredia,Heredia,1387.59,1450,0.959909141734925
2021-05-01,5,Aceite vegetal,Grasas,1,Mililitros,Limon,Limon,Limon,1392.26,1450,0.9617844749954014
2021-06-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,San Jose,San Jose,Carmen,848.19,820,1.0458254188195582
2021-06-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Alajuela,Alajuela,Alajuela,781.66,820,0.9602698203137393
2021-06-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Cartago,Cartago,Oriental,794.41,820,0.9653030486097698
2021-06-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Heredia,Heredia,Heredia,804.68,820,0.9889917773832158
2021-06-01,1,Arroz grano entero 80%,Cereales,0,Kilogramo,Limon,Limon,Limon,799.1,820,0.9785963786358469
2021-06-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,San Jose,San Jose,Carmen,1379.19,1450,0.9556868814766155
2021-06-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Alajuela,Alajuela,Alajuela,1482.69,1450,1.024054047431081
2021-06-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Cartago,Cartago,Oriental,1456.22,1450,1.0078326075346193
2021-06-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Heredia,Heredia,Heredia,1426.25,1450,0.9808940096711494
2021-06-01,2,Frijoles negros primera calidad,Leguminosas,0,Gramos,Limon,Limon,Limon,1497.19,1450,1.0273694832389373
2021-06-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,San Jose,San Jose,Carmen,880.38,850,1.0373072839891122
2021-06-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Alajuela,Alajuela,Alajuela,857.37,850,1.0078866107763174
2021-06-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Cartago,Cartago,Oriental,854.06,850,1.0040600773497859
2021-06-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Heredia,Heredia,Heredia,862.39,850,1.0097583288974123
2021-06-01,3,Leche fluida corta duracion,Lacteos,0,Mililitros,Limon,Limon,Limon,850.41,850,1.0059388311392523
2021-06-01,4,Tomate,Vegetales,0,Kilogramo,San Jose,San Jose,Carmen,1511.14,1500,1.0103906092655959
2021-06-01,4,Tomate,Vegetales,0,Kilogramo,Alajuela,Alajuela,Alajuela,1451.2,1500,0.9702496475698765
2021-06-01,4,Tomate,Vegetales,0,Kilogramo,Cartago,Cartago,Oriental,1565.96,1500,1.0394366197024272
2021-06-01,4,Tomate,Vegetales,0,Kilogramo,Heredia,Heredia,Heredia,1515.61,1500,1.0168207348275509
2021-06-01,4,Tomate,Vegetales,0,Kilogramo,Limon,Limon,Limon,1547.74,1500,1.0252966448953702
2021-06-01,5,Aceite vegetal,Grasas,1,Mililitros,San Jose,San Jose,Carmen,1487.0,1450,1.0318454821323848
2021-06-01,5,Aceite vegetal,Grasas,1,Mililitros,Alajuela,Alajuela,Alajuela,1379.74,1450,0.9500696884856273
