fecha,compra,venta
2000-01-01,308.15,310.27
2000-01-02,308.14,309.51
2000-01-03,308.38,310.49
2000-01-04,308.22,310.2
2000-01-05,308.27,309.7
2000-01-06,307.86,310.13
2000-01-07,307.53,310.04
2000-01-08,308.03,309.71
2000-01-09,307.72,310.3
2000-01-10,307.94,310.11
2000-01-11,307.71,309.79
2000-01-12,308.14,309.96
2000-01-13,307.57,309.55
2000-01-14,307.61,309.73
2000-01-15,307.66,309.71
2000-01-16,307.96,310.29
2000-01-17,308.45,309.53
2000-01-18,307.55,309.87
2000-01-19,307.81,309.82
2000-01-20,308.02,310.19
2000-01-21,308.14,310.39
2000-01-22,308.27,310.4
2000-01-23,308.48,310.0
2000-01-24,308.18,310.35
2000-01-25,308.04,309.96
2000-01-26,307.53,310.11
2000-01-27,307.96,310.03
2000-01-28,308.25,309.79
2000-01-29,308.26,309.9
2000-01-30,307.69,309.59
2000-01-31,307.83,310.49
2000-02-01,307.64,310.07
2000-02-02,307.75,309.79
2000-02-03,307.74,309.87
2000-02-04,307.54,309.51
2000-02-05,307.89,309.79
2000-02-06,307.59,310.18
2000-02-07,307.88,309.56
2000-02-08,308.04,310.28
2000-02-09,307.85,310.23
2000-02-10,307.82,309.97
2000-02-11,307.79,310.41
2000-02-12,308.36,309.64
2000-02-13,307.6,309.98
2000-02-14,307.76,310.39
2000-02-15,307.78,310.33
2000-02-16,307.78,310.49
2000-02-17,308.32,310.23
2000-02-18,308.13,310.11
2000-02-19,307.69,310.02
2000-02-20,308.33,310.46
2000-02-21,308.01,310.05
2000-02-22,307.99,309.65
2000-02-23,307.6,310.4
2000-02-24,307.85,310.49
2000-02-25,308.18,309.83
2000-02-26,308.15,309.71
2000-02-27,308.01,310.17
2000-02-28,308.4,309.6
2000-02-29,308.07,309.75
2000-03-01,307.72,309.75
2000-03-02,307.56,310.01
2000-03-03,307.86,310.11
2000-03-04,307.72,309.51
2000-03-05,308.23,309.64
2000-03-06,308.3,309.95
2000-03-07,307.66,310.04
2000-03-08,308.1,309.64
2000-03-09,308.4,309.51
2000-03-10,308.22,310.31
2000-03-11,307.89,310.28
2000-03-12,308.04,309.56
2000-03-13,308.14,309.71
2000-03-14,307.73,309.73
2000-03-15,307.67,310.42
2000-03-16,308.49,309.88
2000-03-17,308.19,310.3
2000-03-18,308.05,310.16
2000-03-19,307.64,310.08
2000-03-20,308.21,309.53
2000-03-21,308.5,309.51
2000-03-22,307.79,309.75
2000-03-23,308.02,310.08
2000-03-24,307.67,309.76
2000-03-25,307.81,310.23
2000-03-26,308.42,310.01
2000-03-27,307.94,309.64
2000-03-28,308.27,310.32
2000-03-29,308.21,310.46
2000-03-30,308.0,309.81
2000-03-31,307.71,309.78
2000-04-01,308.31,309.74
2000-04-02,308.24,309.52
2000-04-03,307.71,310.36
2000-04-04,307.51,310.03
2000-04-05,308.04,310.44
2000-04-06,307.95,309.93
2000-04-07,308.47,309.92
2000-04-08,308.46,309.86
2000-04-09,308.39,310.2
2000-04-10,308.16,309.8
2000-04-11,308.25,309.61
2000-04-12,308.02,309.87
2000-04-13,308.09,309.85
2000-04-14,308.02,310.35
2000-04-15,307.61,310.3
2000-04-16,308.03,310.31
2000-04-17,308.44,310.37
2000-04-18,307.71,310.45
2000-04-19,308.35,309.95
2000-04-20,307.54,309.54
2000-04-21,307.97,309.69
2000-04-22,307.97,310.14
2000-04-23,308.48,309.78
2000-04-24,308.16,310.09
2000-04-25,307.87,309.63
2000-04-26,307.58,309.91
2000-04-27,308.39,309.73
2000-04-28,308.49,310.16
2000-04-29,307.74,309.93
2000-04-30,308.3,310.31
2000-05-01,307.51,309.91
2000-05-02,308.12,310.27
2000-05-03,308.34,310.49
2000-05-04,308.29,309.85
2000-05-05,307.54,309.7
2000-05-06,307.61,310.18
2000-05-07,307.82,310.19
2000-05-08,307.6,310.01
2000-05-09,307.56,310.39
2000-05-10,307.74,309.79
2000-05-11,308.29,309.74
2000-05-12,307.52,309.93
2000-05-13,308.13,309.57
2000-05-14,307.85,310.41
2000-05-15,307.84,309.57
2000-05-16,307.53,310.18
2000-05-17,307.95,310.18
2000-05-18,307.81,310.4
2000-05-19,307.55,310.46
2000-05-20,308.09,309.72
2000-05-21,307.78,309.9
2000-05-22,307.83,310.45
2000-05-23,308.27,309.74
2000-05-24,308.35,310.33
2000-05-25,308.21,310.14
2000-05-26,308.38,310.27
2000-05-27,307.57,310.14
2000-05-28,307.52,310.01
2000-05-29,307.65,310.31
2000-05-30,307.96,310.46
2000-05-31,307.85,309.8
2000-06-01,308.31,309.88
2000-06-02,307.96,310.28
2000-06-03,308.26,310.26
2000-06-04,308.19,309.74
2000-06-05,308.4,309.62
2000-06-06,308.21,309.76
2000-06-07,307.93,309.98
2000-06-08,308.09,310.32
2000-06-09,307.65,310.48
2000-06-10,307.87,310.03
2000-06-11,308.44,310.45
2000-06-12,307.95,310.17
2000-06-13,307.99,309.79
2000-06-14,308.18,309.68
2000-06-15,308.44,310.02
2000-06-16,307.97,310.44
2000-06-17,308.14,310.09
2000-06-18,307.7,309.93
2000-06-19,307.54,309.99
2000-06-20,308.36,309.69
2000-06-21,307.96,309.75
2000-06-22,308.36,310.2
2000-06-23,308.46,309.85
2000-06-24,308.21,309.76
2000-06-25,308.19,310.46
2000-06-26,308.33,310.0
2000-06-27,308.25,309.83
2000-06-28,308.4,309.8
2000-06-29,307.93,310.28
2000-06-30,307.87,310.48
2000-07-01,308.32,310.03
2000-07-02,308.06,309.51
2000-07-03,308.4,309.67
2000-07-04,308.25,310.35
2000-07-05,307.98,310.3
2000-07-06,308.03,310.19
2000-07-07,307.65,310.43
2000-07-08,307.99,309.89
2000-07-09,308.45,310.22
2000-07-10,308.05,310.14
2000-07-11,308.26,309.57
2000-07-12,308.37,309.73
2000-07-13,308.09,310.33
2000-07-14,308.2,310.34
2000-07-15,307.56,310.24
2000-07-16,307.64,310.31
2000-07-17,308.2,310.38
2000-07-18,308.26,309.87
2000-07-19,308.11,309.63
2000-07-20,307.7,309.93
2000-07-21,307.51,310.2
2000-07-22,308.14,310.21
2000-07-23,307.97,309.85
2000-07-24,308.49,309.51
2000-07-25,308.44,309.75
2000-07-26,308.35,309.56
2000-07-27,307.54,309.67
2000-07-28,308.19,309.94
2000-07-29,307.82,310.49
2000-07-30,307.81,310.15
2000-07-31,307.81,310.49
2000-08-01,307.57,310.4
2000-08-02,308.23,310.39
2000-08-03,307.58,310.33
2000-08-04,308.34,309.95
2000-08-05,308.11,309.59
2000-08-06,308.38,310.21
2000-08-07,307.56,309.77
2000-08-08,308.49,310.44
2000-08-09,307.77,310.45
2000-08-10,308.03,310.27
2000-08-11,308.26,309.77
2000-08-12,307.73,309.79
2000-08-13,308.04,310.28
2000-08-14,308.15,310.03
2000-08-15,308.43,310.21
2000-08-16,308.18,310.4
2000-08-17,308.0,309.99
2000-08-18,308.3,310.06
2000-08-19,308.46,309.66
2000-08-20,307.65,309.72
2000-08-21,308.17,309.99
2000-08-22,308.05,310.1
2000-08-23,308.26,309.75
2000-08-24,308.02,309.77
2000-08-25,308.34,310.17
2000-08-26,307.7,309.87
2000-08-27,308.11,309.55
2000-08-28,307.51,309.86
2000-08-29,308.02,310.03
2000-08-30,308.18,309.92
2000-08-31,307.52,309.75
2000-09-01,308.4,309.89
2000-09-02,307.79,309.86
2000-09-03,308.11,310.25
2000-09-04,307.73,309.72
2000-09-05,307.91,310.12
2000-09-06,307.87,309.65
2000-09-07,307.92,310.39
2000-09-08,308.26,310.03
2000-09-09,308.48,310.45
2000-09-10,308.42,310.19
2000-09-11,308.41,310.24
2000-09-12,308.39,310.14
2000-09-13,308.07,309.9
2000-09-14,307.79,310.4
2000-09-15,308.29,310.1
2000-09-16,308.18,310.13
2000-09-17,308.5,310.29
2000-09-18,308.2,309.68
2000-09-19,307.6,310.3
2000-09-20,308.36,309.92
2000-09-21,308.32,309.54
2000-09-22,308.22,310.05
2000-09-23,307.59,310.18
2000-09-24,308.26,310.17
2000-09-25,308.43,309.65
2000-09-26,308.34,310.43
2000-09-27,307.95,309.82
2000-09-28,307.62,310.01
2000-09-29,308.18,310.32
2000-09-30,307.89,309.61
2000-10-01,307.81,309.57
2000-10-02,307.79,310.26
2000-10-03,307.95,309.84
2000-10-04,308.39,310.41
2000-10-05,308.06,309.83
2000-10-06,307.6,309.82
2000-10-07,308.19,310.48
2000-10-08,307.91,309.62
2000-10-09,307.78,310.06
2000-10-10,307.9,310.07
2000-10-11,307.52,310.32
2000-10-12,308.44,310.18
2000-10-13,308.38,310.31
2000-10-14,308.13,310.41
2000-10-15,308.18,309.91
2000-10-16,307.89,310.5
2000-10-17,307.93,310.45
2000-10-18,308.41,309.59
2000-10-19,307.75,309.74
2000-10-20,307.98,310.48
2000-10-21,308.33,309.83
2000-10-22,308.07,310.38
2000-10-23,307.91,310.12
2000-10-24,308.28,309.75
2000-10-25,308.34,310.39
2000-10-26,307.92,309.5
2000-10-27,307.78,309.74
2000-10-28,308.44,309.68
2000-10-29,307.79,310.15
2000-10-30,308.34,309.62
2000-10-31,308.14,310.02
2000-11-01,308.41,310.49
2000-11-02,308.25,310.1
2000-11-03,308.12,309.77
2000-11-04,308.25,309.73
2000-11-05,308.4,309.72
2000-11-06,307.64,309.8
2000-11-07,308.35,310.0
2000-11-08,307.96,310.19
2000-11-09,308.25,309.94
2000-11-10,307.7,309.99
2000-11-11,308.46,310.34
2000-11-12,308.46,309.99
