fecha,compra,venta
2019-01-01 00:00:00,604.39,611.75
2019-01-02 00:00:00,604.39,611.75
2019-01-03 00:00:00,603.01,611.55
2019-01-04 00:00:00,604.77,611.68
2019-01-05 00:00:00,602.4,611.55
2019-01-06 00:00:00,602.4,611.55
2019-01-07 00:00:00,602.4,611.55
2019-01-08 00:00:00,605.39,612.93
2019-01-09 00:00:00,604.83,612.21
2019-01-10 00:00:00,605.61,612.12
2019-01-11 00:00:00,604.86,610.49
2019-01-12 00:00:00,602.3,608.8
2019-01-13 00:00:00,602.3,608.8
2019-01-14 00:00:00,602.3,608.8
2019-01-15 00:00:00,599.81,606.63
2019-01-16 00:00:00,598.84,605.08
2019-01-17 00:00:00,596.67,602.97
2019-01-18 00:00:00,597.13,603.52
2019-01-19 00:00:00,597.0,604.7
2019-01-20 00:00:00,597.0,604.7
2019-01-21 00:00:00,597.0,604.7
2019-01-22 00:00:00,597.49,605.15
2019-01-23 00:00:00,598.6,606.56
2019-01-24 00:00:00,603.22,608.11
2019-01-25 00:00:00,605.03,610.7
2019-01-26 00:00:00,606.26,612.6
2019-01-27 00:00:00,606.26,612.6
2019-01-28 00:00:00,606.26,612.6
2019-01-29 00:00:00,606.85,613.97
2019-01-30 00:00:00,608.99,614.95
2019-01-31 00:00:00,607.85,614.17
2019-02-01 00:00:00,608.04,614.32
2019-02-02 00:00:00,607.4,615.31
2019-02-03 00:00:00,607.4,615.31
2019-02-04 00:00:00,607.4,615.31
2019-02-05 00:00:00,606.03,616.4
2019-02-06 00:00:00,608.51,616.45
2019-02-07 00:00:00,608.11,615.35
2019-02-08 00:00:00,610.01,615.12
2019-02-09 00:00:00,608.78,614.96
2019-02-10 00:00:00,608.78,614.96
2019-02-11 00:00:00,608.78,614.96
2019-02-12 00:00:00,607.96,615.06
2019-02-13 00:00:00,608.15,614.08
2019-02-14 00:00:00,607.24,612.76
2019-02-15 00:00:00,607.17,612.42
2019-02-16 00:00:00,604.45,611.36
2019-02-17 00:00:00,604.45,611.36
